#,Malların (işlərin və xidmətlərin) adı,详细描述,,description_en,Ətraflı təsviri,Malgöndərən/podratçının qeydləri,part_number,name_en,Ad chn,Category,Category Zh,Factory Adress,Factory Adress Zh,Manufacturing Country(En),Manufacturing Country(Zh),Condition,Quality,Car Brand(en),Car Brand(Zh),Car marka(en),Car marka(zh),Part Year
11,İsuzu -  Nova - Buraxılış ili - 2020 - NNMOATLN02000724,耐用型发电机皮带，专为高效向车辆配件传输动力而设计。,,Durable Dynamo Belt designed for efficient power transmission to vehicle accessories.,"Dinamo qayışının dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə","8980031870.Çin, Original",8980031870,Alternator belt,发电机皮带,Engine / Belts,发动机/皮带,,,China,,New,Original,Isuzu,,Nova,,"2 020,00"
12,İsuzu -  Nova - Buraxılış ili - 2020 - NNMOATLN02000724,OEM品质的发电机电枢，设计用于实现最佳电输出和使用寿命。,,OEM-quality Dynamo Armature designed for optimal electrical output and longevity.,"Dinamo lövbərinin (obmotka) dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə","8973027010.Çin, Original",8973027010,Alternator winding,发电机绕组,Engine / Alternator,发动机/交流发电机,,,China,,New,Original,Isuzu,,Nova,,"2 020,00"
13,İsuzu -  Nova - Buraxılış ili - 2020 - NNMOATLN02000724,可靠的发电机继电器，专为精确电压调节而设计。,,Reliable Dynamo Relay engineered for precise voltage regulation.,"Dinamo relesinin dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə","377776552101. .Çin, Original",377776552101,Alternator relay,发电机继电器,Engine / Alternator,发动机/交流发电机,,,China,,New,Original,Isuzu,,Nova,,"2 020,00"
14,İsuzu -  Nova - Buraxılış ili - 2020 - NNMOATLN02000724,高性能发电机，设计用于可靠发电。,,High-performance Dynamo designed for reliable power generation.,"Dinamonun yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə","377776393001. .Çin, Original",377776393001,Alternator,发电机,Engine / Alternator,发动机/交流发电机,,,China,,New,Original,,,,,
15,İsuzu -  Nova - Buraxılış ili - 2020 - NNMOATLN02000724,专为高效启动发动机而设计的重型启动锚。,,Heavy-duty Starter Anchor designed for efficient engine cranking.,"Starter lövbərinin (yakorunun) dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə","8971922990.Çin, Original",8971922990,Starter coil,起动机绕组,Engine / Starter,发动机/启动机,,,China,,New,Original,,,,,
16,İsuzu -  Nova - Buraxılış ili - 2020 - NNMOATLN02000724,优质启动碳粉，专为实现最佳导电性而设计。,,Premium Starter Carbon designed for optimal electrical conductivity.,"Starter kömürünün dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə ","894167430051. .Çin, Original",894167430051,Starter brush,起动机碳刷,Engine / Starter,发动机/启动机,,,China,,New,Original,,,,,
17,İsuzu -  Nova - Buraxılış ili - 2020 - NNMOATLN02000724,耐用型启动开关，专为可靠启动启动电机而设计。,,Durable Starter Switch engineered for dependable starter motor activation.,"Starter qoşucusunun (avtomatının) dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə","894337444051. .Çin, Original",894337444051,Starter solenoid,起动机电磁开关,Engine / Starter,发动机/启动机,,,China,,New,Original,,,,,
18,İsuzu -  Nova - Buraxılış ili - 2020 - NNMOATLN02000724,重新设计的启动传动装置，可实现平稳可靠的发动机启动。,,Rebuilt Starter Transmission designed for smooth and reliable engine starting.,"Starter intiqalının (bendeksinin) sökülüb təmir olunması, ehtiyat hissəsi ilə birlikdə","897025671054. .Çin, Original",897025671054,Starter drive,起动机单向器,Engine / Starter,发动机/启动机,,,China,,New,Original,,,,,
19,İsuzu -  Nova - Buraxılış ili - 2020 - NNMOATLN02000724,高性能起动机，设计用于快速可靠地启动发动机。,,High-performance Starter designed for fast and reliable engine starting.,"Starterin yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə","898222018254. .Çin, Original",898222018254,Starter motor,起动机,Engine / Starter,发动机/启动机,,,China,,New,Original,,,,,
20,İsuzu -  Nova - Buraxılış ili - 2020 - NNMOATLN02000724,燃油泵的设计旨在实现稳定的燃油输送和最佳的发动机性能。,,Fuel Pump designed for consistent fuel delivery and optimal engine performance.,"Yanacaq nasosunun dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə","897386557651. .Çin, Original",897386557651,Fuel pump,燃油泵,Fuel System,燃油系统,,,China,,New,Original,,,,,
21,İsuzu -  Nova - Buraxılış ili - 2020 - NNMOATLN02000724,高效水泵，专为有效冷却发动机而设计。,,High-efficiency Water Pump designed for effective engine cooling.,"Su nasosunun yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə","587610089151. .Çin, Original",587610089151,Water pump,水泵,Engine / Cooling System,发动机/冷却系统,,,China,,New,Original,,,,,
22,İsuzu -  Nova - Buraxılış ili - 2020 - NNMOATLN02000724,专业的燃油喷射器清洗服务，恢复最佳燃油流量和发动机效率。,,Professional Fuel Injector Cleaning service to restore optimal fuel flow and engine efficiency.,Yanacaq forsunkalarının yuyulması,XİDMƏT.,XİDMƏT,.,.,,#VALUE!,,,China,,New,Original,,,,,
23,İsuzu -  Nova - Buraxılış ili - 2020 - NNMOATLN02000724,耐用型供暖炉管，设计用于在车厢内高效分配热量。,,Durable Heating Furnace Pipe designed for efficient heat distribution within the cabin.,"İstilik peçinin borusunun (şlanqının) dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə","377772701101. .Çin, Original",377772701101,Heater hose,暖风水管,Cooling / Heating System,制冷/制热系统,,,China,,New,Original,,,,,
24,İsuzu -  Nova - Buraxılış ili - 2020 - NNMOATLN02000724,精密设计的下散热器管道，可实现高效的冷却液循环。,,Precision Lower Radiator Pipe designed for effective coolant circulation.,"Su radiatorunun alt borusunun (potrubkası) əvəz olunması, ehtiyat hissəsi ilə birlikdə","897209949151. .Çin, Original",897209949151,Lower radiator hose,散热器下水管,Engine / Cooling System,发动机/冷却系统,,,China,,New,Original,,,,,
25,İsuzu -  Nova - Buraxılış ili - 2020 - NNMOATLN02000724,精密设计的上部水箱管道，可实现高效的冷却液循环。,,Precision Upper Water Radiator Pipe designed for effective coolant circulation.,"Su radiatorunun üst borusunun (potrubkası) əvəz olunması, ehtiyat hissəsi ilə birlikdə","897379228151. .Çin, Original",897379228151,Upper radiator hose,散热器上水管,Engine / Cooling System,发动机/冷却系统,,,China,,New,Original,,,,,
26,İsuzu -  Nova - Buraxılış ili - 2020 - NNMOATLN02000724,高精度水温传感器，专为精确监测发动机温度而设计。,,Accurate Water Temperature Sensor designed for precise engine temperature monitoring.,"Su temperaturu sensorunun (datçikinin) əvəz olunması, ehtiyat hissəsi ilə birlikdə","898260257051. .Çin, Original",898260257051,Coolant temperature sensor,冷却液温度传感器,Engine / Sensors,发动机/传感器,,,China,,New,Original,,,,,
27,İsuzu -  Nova - Buraxılış ili - 2020 - NNMOATLN02000724,高性能恒温器，旨在实现最佳发动机温度调节。,,High-performance Thermostat designed for optimal engine temperature regulation.,"Termostatın yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə","897300790351. .Çin, Original",897300790351,Thermostat,恒温器,Engine / Cooling System,发动机/冷却系统,,,China,,New,Original,,,,,
28,İsuzu -  Nova - Buraxılış ili - 2020 - NNMOATLN02000724,高效暖气炉散热器，设计用于最大限度输出热量。,,Efficient Heating Stove Radiator designed for maximum heat output.,"İstilik peçinin radiatorunun yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə","898047494054. .Çin, Original",898047494054,Heater core,暖风散热器,Cooling / Heating System,制冷/制热系统,,,China,,New,Original,,,,,
29,İsuzu -  Nova - Buraxılış ili - 2020 - NNMOATLN02000724,高效机油散热器，专为有效冷却发动机机油而设计。,,Efficient Oil Radiator designed for effective engine oil cooling.,"Yağ radiatorunun yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə","387051808001. .Çin, Original",387051808001,Oil cooler,机油冷却器,Engine / Cooling System,发动机/冷却系统,,,China,,New,Original,,,,,
30,İsuzu -  Nova - Buraxılış ili - 2020 - NNMOATLN02000724,高效水冷散热器，专为实现最佳发动机冷却而设计。,,Efficient Water Radiator designed for optimal engine cooling.,"Su radiatorunun yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə","387017879201. .Çin, Original",387017879201,Radiator,散热器,Engine / Cooling System,发动机/冷却系统,,,China,,New,Original,,,,,
31,İsuzu -  Nova - Buraxılış ili - 2020 - NNMOATLN02000724,用于实现最佳液压系统性能的动力转向油。,,Power Steering Oil for optimal hydraulic system performance.,"Sükan hidrogücləndiricisinin (rulevoyun) yağı, dəyişdirilməsi ilə birlikdə","ATF 3  Bendix,Türkiyə.",ATF 3,Türkiyə,Türkiyə,Türkiyə,土耳其语,,,China,,New,Original,,,,,
32,İsuzu -  Nova - Buraxılış ili - 2020 - NNMOATLN02000724,全新设计的方向盘，旨在提升操控性和驾驶舒适性。,,New Steering Wheel designed for enhanced control and driving comfort.,"Sükan hidrogücləndiricisinin (rulevoyun) yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə","8978243001. .Çin, Original",8978243001,Power steering rack,转向助力齿条,Steering / Power Steering,转向/动力转向,,,China,,New,Original,,,,,
33,İsuzu -  Nova - Buraxılış ili - 2020 - NNMOATLN02000724,高性能刹车油，提供稳定可靠的制动性能。,,High-performance Brake Fluid for consistent and reliable braking.,"Əyləc mayesi, dəyişdirilməsi ilə birlikdə",DOT 4 Bendix Türkiyə,DOT 4,Türkiyə,Türkiyə,Türkiyə,土耳其语,,,China,,New,Original,,,,,
34,İsuzu -  Nova - Buraxılış ili - 2020 - NNMOATLN02000724,后刹车支架，用于牢固安装刹车部件并确保其正常工作。,,Rear Brake Support for secure brake component mounting and function.,"Arxa əyləc supportunun yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə","129996990654. .Çin, Original",129996990654,Rear brake caliper,后刹车卡钳,Braking System,制动系统,,,China,,New,Original,,,,,
35,İsuzu -  Nova - Buraxılış ili - 2020 - NNMOATLN02000724,前刹车支架，用于牢固安装刹车部件并确保其正常工作。,,Front Brake Support for secure brake component mounting and function.,"Ön əyləc supportunun yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə","129996990654. .Çin, Original",129996990654,Front brake caliper,前刹车卡钳,Braking System,制动系统,,,China,,New,Original,,,,,
36,İsuzu -  Nova - Buraxılış ili - 2020 - NNMOATLN02000724,耐用型刹车软管，可高效安全地输送刹车油。,,Durable Brake Hose for efficient and safe brake fluid transfer.,"Əyləc şlanqlarının dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə","898122043051. .Çin, Original",898122043051,Brake hose,刹车软管,Braking System,制动系统,,,China,,New,Original,,,,,
37,İsuzu -  Nova - Buraxılış ili - 2020 - NNMOATLN02000724,新增连杆（稳定杆），增强悬架稳定性和操控性。,,New Link (Stabilizer Bar) for enhanced suspension stability and handling.,"Linqin (stabilizatorun sırğası) yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə","587830536254. .Çin, Original",587830536254,Stabilizer link,稳定杆连接杆,Suspension,暂停,,,China,,New,Original,,,,,
38,İsuzu -  Nova - Buraxılış ili - 2020 - NNMOATLN02000724,轮毂轴承的设计旨在实现车轮平稳旋转和持久耐用的性能。,,Hub Bearing engineered for smooth wheel rotation and long-lasting performance.,"Stupitsa diyircəkli yastığının (podşibnikinin) yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə","377777387054. .Çin, Original",377777387054,Wheel hub bearing,轮毂轴承,Suspension / Wheel Assembly,悬架/车轮组件,,,China,,New,Original,,,,,
39,İsuzu -  Nova - Buraxılış ili - 2020 - NNMOATLN02000724,下部皮带轮设计用于高效驱动附件皮带。,,Lower Pulley designed for efficient accessory belt drive operation.,"Alt şaravoyun dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə","387029751001. .Çin, Original",387029751001,Lower ball joint,下球头,Suspension,暂停,,,China,,New,Original,,,,,
40,İsuzu -  Nova - Buraxılış ili - 2020 - NNMOATLN02000724,左下摆臂用于实现精确的悬架几何结构和车辆稳定性。,,Lower Left Arm for precise suspension geometry and vehicle stability.,"Alt sol qolun dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə","387411525001. .Çin, Original",387411525001,Lower left control arm,左下控制臂,Suspension,暂停,,,China,,New,Original,,,,,
41,İsuzu -  Nova - Buraxılış ili - 2020 - NNMOATLN02000724,右下摆臂用于实现精确的悬架几何结构和车辆稳定性。,,Lower Right Arm for precise suspension geometry and vehicle stability.,"Alt sağ qolun dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə","387411525001. .Çin, Original",387411525001,Lower right control arm,右下控制臂,Suspension,暂停,,,China,,New,Original,,,,,
42,İsuzu -  Nova - Buraxılış ili - 2020 - NNMOATLN02000724,前后稳定杆橡胶，增强悬架性能。,,Front and Rear Stabilizer Rubbers for enhanced suspension performance.,"Ön və arxa stabilizatorun rezinlərinin dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə","894440793001. .Çin, Original",894440793001,Front and rear stabilizer bushings,前后稳定杆胶套,Suspension,暂停,,,China,,New,Original,,,,,
43,İsuzu -  Nova - Buraxılış ili - 2020 - NNMOATLN02000724,后支撑盘用于牢固安装刹车片并确保其正常工作。,,Rear Support Disc for secure brake pad mounting and function.,"Arxa dayaq diskinin (apornunun) dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə","387043912054. .Çin, Original",387043912054,Rear brake disc,后刹车盘,Braking System,制动系统,,,China,,New,Original,,,,,
44,İsuzu -  Nova - Buraxılış ili - 2020 - NNMOATLN02000724,前支撑盘用于牢固安装刹车片并确保其正常工作。,,Front Support Disc for secure brake pad mounting and function.,"Ön dayaq diskinin (apornunun) dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə","387043912001. .Çin, Original",387043912001,Front brake disc,前刹车盘,Braking System,制动系统,,,China,,New,Original,,,,,
45,İsuzu -  Nova - Buraxılış ili - 2020 - NNMOATLN02000724,新型ABS传感器，可精确监测车轮速度并实现防抱死制动。,,New ABS Sensor for accurate wheel speed monitoring and anti-lock braking.,"ABS sensorunun (datçikinin) yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə","387006149001. .Çin, Original",387006149001,ABS sensor,ABS传感器,Braking System / Sensors,制动系统/传感器,,,China,,New,Original,,,,,
46,İsuzu -  Nova - Buraxılış ili - 2020 - NNMOATLN02000724,新型机油传感器，可可靠地监测发动机机油压力。,,New Oil Sensor for reliable engine oil pressure monitoring.,"Yağ sensorunun (datçikinin) yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə","982720209276. .Çin, Original",982720209276,Oil pressure sensor,机油压力传感器,Engine / Sensors,发动机/传感器,,,China,,New,Original,,,,,
47,İsuzu -  Nova - Buraxılış ili - 2020 - NNMOATLN02000724,新型催化传感器，实现精准排放控制和发动机性能提升。,,New Catalyst Sensor for precise emissions control and engine performance.,"Katalizator sensorunun (datçikinin) yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə","898004329051. .Çin, Original",898004329051,Catalytic converter sensor,催化转换器传感器,Engine / Emission Sensors,发动机/排放传感器,,,China,,New,Original,,,,,
48,İsuzu -  Nova - Buraxılış ili - 2020 - NNMOATLN02000724,新型曲轴传感器，可实现精确的发动机正时和最佳性能。,,New Crankshaft Sensor for accurate engine timing and optimal performance.,"Dirsəkli valın (kolenvalın) sensorunun (datçikinin) yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə","897312108151. .Çin, Original",897312108151,Crankshaft,曲轴,Engine / Internal Parts,发动机/内部零件,,,China,,New,Original,,,,,
49,İsuzu -  Nova - Buraxılış ili - 2020 - NNMOATLN02000724,新型凸轮轴传感器，可实现精确的发动机正时和最佳性能。,,New Camshaft Sensor for precise engine timing and optimal performance.,"Paylayıcı valın (raspredvalın) sensorunun (datçikinin) yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə","A00020048451. .Çin, Original",A00020048451,Camshaft,凸轮轴,Engine / Internal Parts,发动机/内部零件,,,China,,New,Original,,,,,
50,İsuzu -  Nova - Buraxılış ili - 2020 - NNMOATLN02000724,全面诊断，实现精准的车辆系统分析。,,Comprehensive Diagnostics for accurate vehicle system analysis.,Diaqnostika,XİDMƏT.,XİDMƏT,.,.,,#VALUE!,,,China,,New,Original,,,,,
51,İsuzu -  Nova - Buraxılış ili - 2020 - NNMOATLN02000724,车轮定位调整，实现精准操控和优化轮胎磨损。,,Wheel Alignment Adjustment for precise handling and tire wear optimization.,Təkər çəpliyinin tənzimlənməsi (razval),XİDMƏT.,XİDMƏT,.,.,,#VALUE!,,,China,,New,Original,,,,,
52,İsuzu -  Nova - Buraxılış ili - 2020 - NNMOATLN02000724,前减震器，提供卓越的乘坐舒适性和操控性。,,Front Shock Absorber for superior ride comfort and handling.,"Ön amortizator yastığının yenisi ilə əvəz olunması, ehtiyat hissəsilə ilə birlikdə","951631014001. .Çin, Original",951631014001,Front shock absorber mount,前减震器胶垫,Suspension,暂停,,,China,,New,Original,,,,,
53,İsuzu -  Nova - Buraxılış ili - 2020 - NNMOATLN02000724,后减震器，提供卓越的乘坐舒适性和操控性。,,Rear Shock Absorber for superior ride comfort and handling.,"Arxa amortizatorun yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə","387011038101. .Çin, Original",387011038101,Rear shock absorber,后减震器,Suspension,暂停,,,China,,New,Original,,,,,
54,İsuzu -  Nova - Buraxılış ili - 2020 - NNMOATLN02000724,前减震器，提供卓越的乘坐舒适性和操控性。,,Front Shock Absorber for superior ride comfort and handling.,"Ön amortizatorunun yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə","387031534201. .Çin, Original",387031534201,Front shock absorber,前减震器,Suspension,暂停,,,China,,New,Original,,,,,
55,İsuzu -  Nova - Buraxılış ili - 2020 - NNMOATLN02000724,制冷剂（氟利昂）加注，以实现最佳空调性能。,,Refrigerant (Freon) Filling for optimal air conditioning performance.,Soyuducunun (kondisionerin) qazının (freonun) qramla doldurulması,R134A  Xidmət.,R134A Xidmət,Air conditioning refrigerant (Freon),制冷剂,Air Conditioning,空调,,,China,,New,Original,,,,,
56,İsuzu -  Nova - Buraxılış ili - 2020 - NNMOATLN02000724,新型冰箱（空调）压缩机，制冷效率高。,,New Refrigerator (Air Conditioner) Compressor for efficient cooling.,"Soyuducunun (kondisionerin) kompressorunun yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə","387445108001. .Çin, Original",387445108001,Air conditioning compressor,空调压缩机,Air Conditioning,空调,,,China,,New,Original,,,,,
57,İsuzu -  Nova - Buraxılış ili - 2020 - NNMOATLN02000724,新型冰箱（空调）空气过滤器，可提高空气质量和系统效率。,,New Refrigerator (Air Conditioner) Air Filter for improved air quality and system efficiency.,"Soyuducunun (kondisionerin) hava süzgəcinin yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə","8981402650.Çin, Original",8981402650,Air conditioning air filter,空调空气滤清器,Air Conditioning,空调,,,China,,New,Original,,,,,
58,İsuzu -  Nova - Buraxılış ili - 2020 - NNMOATLN02000724,后刹车片，提供可靠的制动力和更高的安全性。,,Rear Brake Pads for reliable stopping power and enhanced safety.,"Arxa əyləc qəliblərinin yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə","377777421254. .Çin, Original",377777421254,Rear brake caliper,后制动卡钳,Brake System,制动系统,,,China,,New,Original,,,,,
59,İsuzu -  Nova - Buraxılış ili - 2020 - NNMOATLN02000724,前刹车片，提供可靠的制动力和更高的安全性。,,Front Brake Pads for reliable stopping power and enhanced safety.,"Ön əyləc qəliblərinin yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə","377777421254. .Çin, Original",377777421254,Front brake caliper,前制动卡钳,Brake System,制动系统,,,China,,New,Original,,,,,
60,Fiat -  Doblo - Buraxılış ili - 2017 - ZFA26300006H92399,用于高效发电的发电机电枢（绕组）。,,Dynamo Armature (Winding) for efficient electrical power generation.,"Dinamo lövbərinin (obmotka) dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə","2339303295.Çin, Original",2339303295,Alternator winding,发电机绕组,Engine / Alternator,发动机/交流发电机,,,China,,New,Original,,,,,
61,Fiat -  Doblo - Buraxılış ili - 2017 - ZFA26300006H92399,专为实现最佳动力传输和发动机性能而设计的发电机皮带。,,Dynamo Belt engineered for optimal power transmission and engine performance.,"Dinamo qayışının dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə","305P0082.Çin, Original",305P0082,Alternator belt,发电机皮带,Engine / Belts,发动机/皮带,,,China,,New,Original,,,,,
62,Fiat -  Doblo - Buraxılış ili - 2017 - ZFA26300006H92399,专为高效可靠地清洁挡风玻璃而设计的雨刮电机。,,Windshield Wiper Motor designed for efficient and reliable windshield cleaning.,"Şüşəsilənin motorunun yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə","390241564.Çin, Original",390241564,Windshield wiper motor,雨刷电机,Accessories / Wipers,配件/雨刮器,,,China,,New,Original,,,,,
63,Fiat -  Doblo - Buraxılış ili - 2017 - ZFA26300006H92399,高性能雨刮片，确保在各种天气条件下都能拥有清晰的视野。,,High-performance Wiper Blades for clear visibility in all weather conditions.,"Şüşəsilənin fırçalarının yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə","3397007187.Çin, Original",3397007187,Windshield wiper blade,雨刷片,Accessories / Wipers,配件/雨刮器,,,China,,New,Original,,,,,
64,Fiat -  Doblo - Buraxılış ili - 2017 - ZFA26300006H92399,优质主制动缸，设计用于实现最佳液压和可靠的制动性能。,,Premium Master Brake Cylinder designed for optimal hydraulic pressure and reliable braking performance.,"Baş əyləc (qlavnıy) silindrin dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə","77365231.Çin, Original",77365231,Master cylinder,主缸,Braking System,制动系统,,,China,,New,Original,,,,,
65,Fiat -  Doblo - Buraxılış ili - 2017 - ZFA26300006H92399,精密配合的离合器缸，确保离合器平稳运行，性能可靠。,,Precision-fit Clutch Cylinder for smooth clutch operation and reliable performance.,"Muftanın silindrinin dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə","55227259.Çin, Original",55227259,Clutch cylinder,离合器液压缸,Clutch System,离合器系统,,,China,,New,Original,,,,,
66,Fiat -  Doblo - Buraxılış ili - 2017 - ZFA26300006H92399,耐用的前挡风玻璃底玻璃，可增强挡风玻璃保护并牢固贴合。,,Durable Front Windshield Underglaze for enhanced windshield protection and secure fit.,Ön alın şüşəsinin (podpresin) yenisi ilə əvəz olunması,"WS3369GS14.Çin, Original",WS3369GS14,Front windshield,前挡风玻璃,Body / Glass,主体/玻璃,,,China,,New,Original,,,,,
