id;description_zh;description_en;part_number;name_en;name_zh;category_en;category_zh;manufacturing_country_en;manufacturing_country_zh;condition_zh;condition_en;quality;car_brand_en;car_brand_zh;car_model_en;car_model_zh;part_year;factory_part_zh;factory_part_en;factory_name_zh;factory_name_en;factory_phone_number;factory_site_url
17;耐用型启动开关，专为可靠启动启动电机而设计。;Durable Starter Switch engineered for dependable starter motor activation.;894337444051;Starter solenoid;起动机电磁开关;Engine / Starter;发动机/启动机;China;中国;新的;New;Original;İsuzu;伊苏祖;Nova;新星;2 020,00;起动机;starter;宁波华泰汽车电器总厂;Ningbo Huatai Automotive Electric Works;0574-63288017;www.nbhuatai.com
18;重新设计的启动传动装置，可实现平稳可靠的发动机启动。;Rebuilt Starter Transmission designed for smooth and reliable engine starting.;897025671054;Starter drive;起动机单向器;Engine / Starter;发动机/启动机;China;中国;新的;New;Original;İsuzu;伊苏祖;Nova;新星;2 020,00;起动机;starter;宁波华泰汽车电器总厂;Ningbo Huatai Automotive Electric Works;0574-63288017;www.nbhuatai.com
19;高性能起动机，设计用于快速可靠地启动发动机。;High-performance Starter designed for fast and reliable engine starting.;898222018254;Starter motor;起动机;Engine / Starter;发动机/启动机;China;中国;新的;New;Original;İsuzu;伊苏祖;Nova;新星;2 020,00;起动机;starter;宁波华泰汽车电器总厂;Ningbo Huatai Automotive Electric Works;0574-63288017;www.nbhuatai.com
20;燃油泵的设计旨在实现稳定的燃油输送和最佳的发动机性能。;Fuel Pump designed for consistent fuel delivery and optimal engine performance.;897386557651;Fuel pump;燃油泵;Fuel System;燃油系统;China;中国;新的;New;Original;İsuzu;伊苏祖;Nova;新星;2 020,00;水泵;water pump;临清市锡柴水泵有限公司;LINQINGSHI XICHAISHUIBENG CO.LTD.;0635-2613435;http://sdxcsb.cn/
21;高效水泵，专为有效冷却发动机而设计。;High-efficiency Water Pump designed for effective engine cooling.;587610089151;Water pump;水泵;Engine / Cooling System;发动机/冷却系统;China;中国;新的;New;Original;İsuzu;伊苏祖;Nova;新星;2 020,00;水泵;water pump;临清市锡柴水泵有限公司;LINQINGSHI XICHAISHUIBENG CO.LTD.;0635-2613435;http://sdxcsb.cn/
22;专业的燃油喷射器清洗服务，恢复最佳燃油流量和发动机效率。;Professional Fuel Injector Cleaning service to restore optimal fuel flow and engine efficiency.;XİDMƏT;.;.;;#VALUE!;China;中国;新的;New;Original;İsuzu;伊苏祖;Nova;新星;2 020,00;;#VALUE!;;;;
23;耐用型供暖炉管，设计用于在车厢内高效分配热量。;Durable Heating Furnace Pipe designed for efficient heat distribution within the cabin.;377772701101;Heater hose;暖风水管;Cooling / Heating System;制冷/制热系统;China;中国;新的;New;Original;İsuzu;伊苏祖;Nova;新星;2 020,00;橡胶管;rubber hose;清河县星星汽配制造有限公司;Qinghe Xingxing Auto Parts Manufacturing Co., Ltd.;0319-8050320;
24;精密设计的下散热器管道，可实现高效的冷却液循环。;Precision Lower Radiator Pipe designed for effective coolant circulation.;897209949151;Lower radiator hose;散热器下水管;Engine / Cooling System;发动机/冷却系统;China;中国;新的;New;Original;İsuzu;伊苏祖;Nova;新星;2 020,00;橡胶管;rubber hose;清河县星星汽配制造有限公司;Qinghe Xingxing Auto Parts Manufacturing Co., Ltd.;0319-8050320;
25;精密设计的上部水箱管道，可实现高效的冷却液循环。;Precision Upper Water Radiator Pipe designed for effective coolant circulation.;897379228151;Upper radiator hose;散热器上水管;Engine / Cooling System;发动机/冷却系统;China;中国;新的;New;Original;İsuzu;伊苏祖;Nova;新星;2 020,00;橡胶管;rubber hose;清河县星星汽配制造有限公司;Qinghe Xingxing Auto Parts Manufacturing Co., Ltd.;0319-8050320;
26;高精度水温传感器，专为精确监测发动机温度而设计。;Accurate Water Temperature Sensor designed for precise engine temperature monitoring.;898260257051;Coolant temperature sensor;冷却液温度传感器;Engine / Sensors;发动机/传感器;China;中国;新的;New;Original;İsuzu;伊苏祖;Nova;新星;2 020,00;传感器;sensor;温州顶集汽车电子有限公司;Wenzhou Dingji Auto Parts Co.,Ltd.;0577-65163585;http://www.radingji.com/
27;高性能恒温器，旨在实现最佳发动机温度调节。;High-performance Thermostat designed for optimal engine temperature regulation.;897300790351;Thermostat;恒温器;Engine / Cooling System;发动机/冷却系统;China;中国;新的;New;Original;İsuzu;伊苏祖;Nova;新星;2 020,00;节温器;thermostat;慈溪市方佳汽配有限公司;Cixi Fangjia Auto Parts Co.,Ltd;0574-63406888;www.dfsyb.com
28;高效暖气炉散热器，设计用于最大限度输出热量。;Efficient Heating Stove Radiator designed for maximum heat output.;898047494054;Heater core;暖风散热器;Cooling / Heating System;制冷/制热系统;China;中国;新的;New;Original;İsuzu;伊苏祖;Nova;新星;2 020,00;散热器;heat sink;山东欣亿翔汽车零部件有限公司;SHANDONG XINYIXIANG AUTOMOTIVE PARTS CO.，LTD.;0158-63654999;https://www.sdxinyixiang.com/
29;高效机油散热器，专为有效冷却发动机机油而设计。;Efficient Oil Radiator designed for effective engine oil cooling.;387051808001;Oil cooler;机油冷却器;Engine / Cooling System;发动机/冷却系统;China;中国;新的;New;Original;İsuzu;伊苏祖;Nova;新星;2 020,00;散热器;heat sink;山东欣亿翔汽车零部件有限公司;SHANDONG XINYIXIANG AUTOMOTIVE PARTS CO.，LTD.;0158-63654999;https://www.sdxinyixiang.com/
30;高效水冷散热器，专为实现最佳发动机冷却而设计。;Efficient Water Radiator designed for optimal engine cooling.;387017879201;Radiator;散热器;Engine / Cooling System;发动机/冷却系统;China;中国;新的;New;Original;İsuzu;伊苏祖;Nova;新星;2 020,00;散热器;heat sink;山东欣亿翔汽车零部件有限公司;SHANDONG XINYIXIANG AUTOMOTIVE PARTS CO.，LTD.;0158-63654999;https://www.sdxinyixiang.com/
31;用于实现最佳液压系统性能的动力转向油。;Power Steering Oil for optimal hydraulic system performance.;ATF 3;Türkiyə;Türkiyə;Türkiyə;土耳其语;China;中国;新的;New;Original;İsuzu;伊苏祖;Nova;新星;2 020,00;;#VALUE!;;;;
32;全新设计的方向盘，旨在提升操控性和驾驶舒适性。;New Steering Wheel designed for enhanced control and driving comfort.;8978243001;Power steering rack;转向助力齿条;Steering / Power Steering;转向/动力转向;China;中国;新的;New;Original;İsuzu;伊苏祖;Nova;新星;2 020,00;转向拉杆;Steering tie rod;济南泽发共赢配件制造有限公司;JINAN ZEFA WIN WIN ACCESSORIES MANUFACTURING CO.，LTD.;0531-82886188;
33;高性能刹车油，提供稳定可靠的制动性能。;High-performance Brake Fluid for consistent and reliable braking.;DOT 4;Türkiyə;Türkiyə;Türkiyə;土耳其语;China;中国;新的;New;Original;İsuzu;伊苏祖;Nova;新星;2 020,00;;#VALUE!;;;;
34;后刹车支架，用于牢固安装刹车部件并确保其正常工作。;Rear Brake Support for secure brake component mounting and function.;129996990654;Rear brake caliper;后刹车卡钳;Braking System;制动系统;China;中国;新的;New;Original;İsuzu;伊苏祖;Nova;新星;2 020,00;制动钳;Brake caliper;山东春城汽车零部件制造有限公司;Shandong Chuncheng Automotive Parts Manufacturing Co., Ltd;15688882128,00;
35;前刹车支架，用于牢固安装刹车部件并确保其正常工作。;Front Brake Support for secure brake component mounting and function.;129996990654;Front brake caliper;前刹车卡钳;Braking System;制动系统;China;中国;新的;New;Original;İsuzu;伊苏祖;Nova;新星;2 020,00;制动钳;Brake caliper;山东春城汽车零部件制造有限公司;Shandong Chuncheng Automotive Parts Manufacturing Co., Ltd;15688882128,00;
36;耐用型刹车软管，可高效安全地输送刹车油。;Durable Brake Hose for efficient and safe brake fluid transfer.;898122043051;Brake hose;刹车软管;Braking System;制动系统;China;中国;新的;New;Original;İsuzu;伊苏祖;Nova;新星;2 020,00;橡胶管;rubber hose;清河县星星汽配制造有限公司;Qinghe Xingxing Auto Parts Manufacturing Co., Ltd.;0319-8050320;
37;新增连杆（稳定杆），增强悬架稳定性和操控性。;New Link (Stabilizer Bar) for enhanced suspension stability and handling.;587830536254;Stabilizer link;稳定杆连接杆;Suspension;暂停;China;中国;新的;New;Original;İsuzu;伊苏祖;Nova;新星;2 020,00;悬挂配件厂家;Suspension parts manufacturers;济南凯翼(华兴)汽车配件有限公司;JINAN KAIYI (HUAXING) AUTO PARTS CO., LTD;86-15169120622;
38;轮毂轴承的设计旨在实现车轮平稳旋转和持久耐用的性能。;Hub Bearing engineered for smooth wheel rotation and long-lasting performance.;377777387054;Wheel hub bearing;轮毂轴承;Suspension / Wheel Assembly;悬架/车轮组件;China;中国;新的;New;Original;İsuzu;伊苏祖;Nova;新星;2 020,00;;#VALUE!;;;;
39;下部皮带轮设计用于高效驱动附件皮带。;Lower Pulley designed for efficient accessory belt drive operation.;387029751001;Lower ball joint;下球头;Suspension;暂停;China;中国;新的;New;Original;İsuzu;伊苏祖;Nova;新星;2 020,00;悬挂配件厂家;Suspension parts manufacturers;济南凯翼(华兴)汽车配件有限公司;JINAN KAIYI (HUAXING) AUTO PARTS CO., LTD;86-15169120622;
40;左下摆臂用于实现精确的悬架几何结构和车辆稳定性。;Lower Left Arm for precise suspension geometry and vehicle stability.;387411525001;Lower left control arm;左下控制臂;Suspension;暂停;China;中国;新的;New;Original;İsuzu;伊苏祖;Nova;新星;2 020,00;悬挂配件厂家;Suspension parts manufacturers;济南凯翼(华兴)汽车配件有限公司;JINAN KAIYI (HUAXING) AUTO PARTS CO., LTD;86-15169120622;
41;右下摆臂用于实现精确的悬架几何结构和车辆稳定性。;Lower Right Arm for precise suspension geometry and vehicle stability.;387411525001;Lower right control arm;右下控制臂;Suspension;暂停;China;中国;新的;New;Original;İsuzu;伊苏祖;Nova;新星;2 020,00;悬挂配件厂家;Suspension parts manufacturers;济南凯翼(华兴)汽车配件有限公司;JINAN KAIYI (HUAXING) AUTO PARTS CO., LTD;86-15169120622;
42;前后稳定杆橡胶，增强悬架性能。;Front and Rear Stabilizer Rubbers for enhanced suspension performance.;894440793001;Front and rear stabilizer bushings;前后稳定杆胶套;Suspension;暂停;China;中国;新的;New;Original;İsuzu;伊苏祖;Nova;新星;2 020,00;;#VALUE!;;;;
43;后支撑盘用于牢固安装刹车片并确保其正常工作。;Rear Support Disc for secure brake pad mounting and function.;387043912054;Rear brake disc;后刹车盘;Braking System;制动系统;China;中国;新的;New;Original;İsuzu;伊苏祖;Nova;新星;2 020,00;刹车片;brake pads;山东亨通汽车部件有限公司;Shandong Hengtong Auto Parts Co., Ltd.;86(531)8195 6967;www.htsyqp.com
44;前支撑盘用于牢固安装刹车片并确保其正常工作。;Front Support Disc for secure brake pad mounting and function.;387043912001;Front brake disc;前刹车盘;Braking System;制动系统;China;中国;新的;New;Original;İsuzu;伊苏祖;Nova;新星;2 020,00;刹车片;brake pads;山东亨通汽车部件有限公司;Shandong Hengtong Auto Parts Co., Ltd.;86(531)8195 6967;www.htsyqp.com
45;新型ABS传感器，可精确监测车轮速度并实现防抱死制动。;New ABS Sensor for accurate wheel speed monitoring and anti-lock braking.;387006149001;ABS sensor;ABS传感器;Braking System / Sensors;制动系统/传感器;China;中国;新的;New;Original;İsuzu;伊苏祖;Nova;新星;2 020,00;传感器;sensor;温州顶集汽车电子有限公司;Wenzhou Dingji Auto Parts Co.,Ltd.;0577-65163585;http://www.radingji.com/
46;新型机油传感器，可可靠地监测发动机机油压力。;New Oil Sensor for reliable engine oil pressure monitoring.;982720209276;Oil pressure sensor;机油压力传感器;Engine / Sensors;发动机/传感器;China;中国;新的;New;Original;İsuzu;伊苏祖;Nova;新星;2 020,00;传感器;sensor;温州顶集汽车电子有限公司;Wenzhou Dingji Auto Parts Co.,Ltd.;0577-65163585;http://www.radingji.com/
47;新型催化传感器，实现精准排放控制和发动机性能提升。;New Catalyst Sensor for precise emissions control and engine performance.;898004329051;Catalytic converter sensor;催化转换器传感器;Engine / Emission Sensors;发动机/排放传感器;China;中国;新的;New;Original;İsuzu;伊苏祖;Nova;新星;2 020,00;传感器;sensor;温州顶集汽车电子有限公司;Wenzhou Dingji Auto Parts Co.,Ltd.;0577-65163585;http://www.radingji.com/
48;新型曲轴传感器，可实现精确的发动机正时和最佳性能。;New Crankshaft Sensor for accurate engine timing and optimal performance.;897312108151;Crankshaft;曲轴;Engine / Internal Parts;发动机/内部零件;China;中国;新的;New;Original;İsuzu;伊苏祖;Nova;新星;2 020,00;传感器;sensor;温州顶集汽车电子有限公司;Wenzhou Dingji Auto Parts Co.,Ltd.;0577-65163585;http://www.radingji.com/
49;新型凸轮轴传感器，可实现精确的发动机正时和最佳性能。;New Camshaft Sensor for precise engine timing and optimal performance.;A00020048451;Camshaft;凸轮轴;Engine / Internal Parts;发动机/内部零件;China;中国;新的;New;Original;İsuzu;伊苏祖;Nova;新星;2 020,00;传感器;sensor;温州顶集汽车电子有限公司;Wenzhou Dingji Auto Parts Co.,Ltd.;0577-65163585;http://www.radingji.com/
50;全面诊断，实现精准的车辆系统分析。;Comprehensive Diagnostics for accurate vehicle system analysis.;XİDMƏT;.;.;;#VALUE!;China;中国;新的;New;Original;İsuzu;伊苏祖;Nova;新星;2 020,00;;#VALUE!;;;;
51;车轮定位调整，实现精准操控和优化轮胎磨损。;Wheel Alignment Adjustment for precise handling and tire wear optimization.;XİDMƏT;.;.;;#VALUE!;China;中国;新的;New;Original;İsuzu;伊苏祖;Nova;新星;2 020,00;;#VALUE!;;;;
52;前减震器，提供卓越的乘坐舒适性和操控性。;Front Shock Absorber for superior ride comfort and handling.;951631014001;Front shock absorber mount;前减震器胶垫;Suspension;暂停;China;中国;新的;New;Original;İsuzu;伊苏祖;Nova;新星;2 020,00;减震器;shock absorbers;济南凯睿汽车配件有限公司;Jinan Kairui Auto Parts Co., Ltd.;0531-85669090;
53;后减震器，提供卓越的乘坐舒适性和操控性。;Rear Shock Absorber for superior ride comfort and handling.;387011038101;Rear shock absorber;后减震器;Suspension;暂停;China;中国;新的;New;Original;İsuzu;伊苏祖;Nova;新星;2 020,00;减震器;shock absorbers;济南凯睿汽车配件有限公司;Jinan Kairui Auto Parts Co., Ltd.;0531-85669090;
54;前减震器，提供卓越的乘坐舒适性和操控性。;Front Shock Absorber for superior ride comfort and handling.;387031534201;Front shock absorber;前减震器;Suspension;暂停;China;中国;新的;New;Original;İsuzu;伊苏祖;Nova;新星;2 020,00;减震器;shock absorbers;济南凯睿汽车配件有限公司;Jinan Kairui Auto Parts Co., Ltd.;0531-85669090;
55;制冷剂（氟利昂）加注，以实现最佳空调性能。;Refrigerant (Freon) Filling for optimal air conditioning performance.;R134A Xidmət;Air conditioning refrigerant (Freon);制冷剂;Air Conditioning;空调;China;中国;新的;New;Original;İsuzu;伊苏祖;Nova;新星;2 020,00;;#VALUE!;;;;
56;新型冰箱（空调）压缩机，制冷效率高。;New Refrigerator (Air Conditioner) Compressor for efficient cooling.;387445108001;Air conditioning compressor;空调压缩机;Air Conditioning;空调;China;中国;新的;New;Original;İsuzu;伊苏祖;Nova;新星;2 020,00;;#VALUE!;;;;
57;新型冰箱（空调）空气过滤器，可提高空气质量和系统效率。;New Refrigerator (Air Conditioner) Air Filter for improved air quality and system efficiency.;8981402650;Air conditioning air filter;空调空气滤清器;Air Conditioning;空调;China;中国;新的;New;Original;İsuzu;伊苏祖;Nova;新星;2 020,00;滤芯;filter element;廊坊生光滤清器有限公司;LANGFANG SHENGGUANG FILTER CO.,LTD.;0316-8660998;www.lfsg.net
58;后刹车片，提供可靠的制动力和更高的安全性。;Rear Brake Pads for reliable stopping power and enhanced safety.;377777421254;Rear brake caliper;后制动卡钳;Brake System;制动系统;China;中国;新的;New;Original;İsuzu;伊苏祖;Nova;新星;2 020,00;刹车片;brake pads;山东亨通汽车部件有限公司;Shandong Hengtong Auto Parts Co., Ltd.;86(531)8195 6967;www.htsyqp.com
59;前刹车片，提供可靠的制动力和更高的安全性。;Front Brake Pads for reliable stopping power and enhanced safety.;377777421254;Front brake caliper;前制动卡钳;Brake System;制动系统;China;中国;新的;New;Original;İsuzu;伊苏祖;Nova;新星;2 020,00;刹车片;brake pads;山东亨通汽车部件有限公司;Shandong Hengtong Auto Parts Co., Ltd.;86(531)8195 6967;www.htsyqp.com
60;用于高效发电的发电机电枢（绕组）。;Dynamo Armature (Winding) for efficient electrical power generation.;2339303295;Alternator winding;发电机绕组;Engine / Alternator;发动机/交流发电机;China;中国;新的;New;Original;Fiat;菲亚特;Doblo;多布洛;2 017,00;发电机;dynamo;宁波华泰汽车电器总厂;Ningbo Huatai Automotive Electric Works;0574-63288017;www.nbhuatai.com
61;专为实现最佳动力传输和发动机性能而设计的发电机皮带。;Dynamo Belt engineered for optimal power transmission and engine performance.;305P0082;Alternator belt;发电机皮带;Engine / Belts;发动机/皮带;China;中国;新的;New;Original;Fiat;菲亚特;Doblo;多布洛;2 017,00;皮带;belt;河北省巨鹿县东风内燃机配件厂;Hebei Province Julu County Dongfeng Internal Combustion Engine Parts Factory;0319-4333791;
62;专为高效可靠地清洁挡风玻璃而设计的雨刮电机。;Windshield Wiper Motor designed for efficient and reliable windshield cleaning.;390241564;Windshield wiper motor;雨刷电机;Accessories / Wipers;配件/雨刮器;China;中国;新的;New;Original;Fiat;菲亚特;Doblo;多布洛;2 017,00;;#VALUE!;;;;
63;高性能雨刮片，确保在各种天气条件下都能拥有清晰的视野。;High-performance Wiper Blades for clear visibility in all weather conditions.;3397007187;Windshield wiper blade;雨刷片;Accessories / Wipers;配件/雨刮器;China;中国;新的;New;Original;Fiat;菲亚特;Doblo;多布洛;2 017,00;;#VALUE!;;;;
64;优质主制动缸，设计用于实现最佳液压和可靠的制动性能。;Premium Master Brake Cylinder designed for optimal hydraulic pressure and reliable braking performance.;77365231;Master cylinder;主缸;Braking System;制动系统;China;中国;新的;New;Original;Fiat;菲亚特;Doblo;多布洛;2 017,00;;#VALUE!;;;;
65;精密配合的离合器缸，确保离合器平稳运行，性能可靠。;Precision-fit Clutch Cylinder for smooth clutch operation and reliable performance.;55227259;Clutch cylinder;离合器液压缸;Clutch System;离合器系统;China;中国;新的;New;Original;Fiat;菲亚特;Doblo;多布洛;2 017,00;;#VALUE!;;;;
66;耐用的前挡风玻璃底玻璃，可增强挡风玻璃保护并牢固贴合。;Durable Front Windshield Underglaze for enhanced windshield protection and secure fit.;WS3369GS14;Front windshield;前挡风玻璃;Body / Glass;主体/玻璃;China;中国;新的;New;Original;Fiat;菲亚特;Doblo;多布洛;2 017,00;;#VALUE!;;;;
67;后减震器垫经过精心设计，可提供卓越的减震效果和乘坐舒适性。;Rear Shock Absorber Pad engineered for superior shock absorption and ride comfort.;51916658;Rear shock absorber mount;后减震器胶垫;Suspension;暂停;China;中国;新的;New;Original;Fiat;菲亚特;Doblo;多布洛;2 017,00;减震器;shock absorbers;济南凯睿汽车配件有限公司;Jinan Kairui Auto Parts Co., Ltd.;0531-85669090;
68;左前内挡泥板，提供最佳的防道路碎屑保护和耐腐蚀性。;Front Left Inner Fender for optimal protection against road debris and corrosion resistance.;302009100020;Front left CV joint;左前等速万向节;Drivetrain;传动系统;China;中国;新的;New;Original;Fiat;菲亚特;Doblo;多布洛;2 017,00;球笼;ball cage;瑞安市凯业汽车零部件有限公司;Ruian Kaiye Auto Parts Co., Ltd.;86-0577-65361965;http://www.ruiankaiye.com/
69;左前外壳设计坚固耐用，提供外部保护，完美贴合。;Front Left Outer Shell designed for robust exterior protection and a perfect fit.;FT25083K;Front left CV joint;左前等速万向节;Drivetrain;传动系统;China;中国;新的;New;Original;Fiat;菲亚特;Doblo;多布洛;2 017,00;球笼;ball cage;瑞安市凯业汽车零部件有限公司;Ruian Kaiye Auto Parts Co., Ltd.;86-0577-65361965;http://www.ruiankaiye.com/
70;右前外壳设计坚固耐用，提供外部保护，完美贴合。;Front Right Outer Shell designed for robust exterior protection and a perfect fit.;FT25542;Front right CV joint;右前等速万向节;Drivetrain;传动系统;China;中国;新的;New;Original;Fiat;菲亚特;Doblo;多布洛;2 017,00;球笼;ball cage;瑞安市凯业汽车零部件有限公司;Ruian Kaiye Auto Parts Co., Ltd.;86-0577-65361965;http://www.ruiankaiye.com/
71;右前内挡泥板，提供最佳的防道路碎屑保护和耐腐蚀性。;Front Right Inner Fender for optimal protection against road debris and corrosion resistance.;55214684;Front right CV joint;右前等速万向节;Drivetrain;传动系统;China;中国;新的;New;Original;Fiat;菲亚特;Doblo;多布洛;2 017,00;球笼;ball cage;瑞安市凯业汽车零部件有限公司;Ruian Kaiye Auto Parts Co., Ltd.;86-0577-65361965;http://www.ruiankaiye.com/
72;压力盘经过精心设计，可确保离合器稳定接合，并具有持久耐用性。;Pressure Disc engineered for consistent clutch engagement and long-lasting durability.;71753318;Clutch pressure plate;离合器压盘;Clutch System;离合器系统;China;中国;新的;New;Original;Fiat;菲亚特;Doblo;多布洛;2 017,00;变速箱;gearbox;汇隆机械(济南)有限公司;Huilong Machinery (Jinan) Co., Ltd.;15854168782,00;
73;高摩擦力碟片设计，具有卓越的制动性能和更长的使用寿命。;High-friction Disc designed for superior braking performance and extended lifespan.;55212655;Clutch disc;离合器摩擦片;Clutch System;离合器系统;China;中国;新的;New;Original;Fiat;菲亚特;Doblo;多布洛;2 017,00;变速箱;gearbox;汇隆机械(济南)有限公司;Huilong Machinery (Jinan) Co., Ltd.;15854168782,00;
74;带离合器片的完整离合器总成（Vizhimnoy），设计用于平稳高效的动力传输。;Complete Clutch Assembly with Clutch Pad (Vizhimnoy) engineered for smooth and efficient power transfer.;AISIN BE-FI02;Clutch release bearing;离合器分离轴承;Clutch System;离合器系统;China;中国;新的;New;Original;Fiat;菲亚特;Doblo;多布洛;2 017,00;变速箱;gearbox;汇隆机械(济南)有限公司;Huilong Machinery (Jinan) Co., Ltd.;15854168782,00;
